Destination,Latitude,Longitude
Aarhus,56.1496278,10.2134046
Athen,37.9755648,23.7348324
Australien,-24.7761086,134.755
Banff,51.175076,-115.5720773
Bergen,60.3943055,5.3259192
Berlin,52.5170365,13.3888599
Bristol,51.4538022,-2.5972985
Bruxelles,50.8550018,4.3512333761166175
Copenhagen,55.6867243,12.5700724
Cyprus,34.9174159,32.889902651331866
Dublin,53.3493795,-6.2605593
Edinburgh,55.9533456,-3.1883749
Faro,37.0162727,-7.9351771
Florianopolis,-27.5973002,-48.5496098
Geneva,46.2017559,6.1466014
Grenoble,45.1875602,5.7357819
Hamburg,53.550341,10.000654
Helsinki,60.1674881,24.9427473
Heraklion,31.302979,30.120813
Innsbruck,47.2654296,11.3927685
Ispra,45.815457,8.6101375
Kastrup,55.6378428,12.6379955
København,55.6867243,12.5700724
Lausanne,46.5218269,6.6327025
Leipzig,51.3406321,12.3747329
London,51.5074456,-0.1277653
Longyearbyen,78.2231558,15.6463656
Lund,55.7029296,13.1929449
Lyon,45.7578137,4.8320114
Marrakesh,31.6258257,-7.9891608
Milan,45.4641943,9.1896346
München,48.1371079,11.5753822
Newcastle,54.9738474,-1.6131572
Nuuk,64.1766835,-51.7359356
Ny Ålesund,78.9255303,11.9291656
Oslo,59.9133301,10.7389701
Oulu,65.0118734,25.4716809
Paris,48.8588897,2.3200410217200766
Risø,55.695065,12.0927145
Roskilde,55.6433478,12.0819247
San Francisco,37.7792588,-122.4193286
Shanghai,31.2323437,121.4691024
Spain,39.3260685,-4.8379791
Station Nord,81.59251795,-16.65962633846032
Stockholm,59.3251172,18.0710935
Stuttgart,48.7784485,9.1800132
The Netherlands,52.24764975,5.541246849406163
Thorshavn,62.012,-6.768
Toulouse,43.6044622,1.4442469
Trento,46.0664228,11.1257601
Tyskland,51.1638175,10.4478313
Umeå,63.8256568,20.2630745
Uppsala,59.8586126,17.6387436
Utrecht,52.080985600000005,5.12768396945229
Venedig,45.4371908,12.3345898
Wien,48.2083537,16.3725042
Ålesund,62.4711412,6.1551755
Ølstykke,55.7957669,12.1593166
