,from,to,via,times,electric,petrol,distance_electric,distance_petrol,distance,emissions_electric,emissions_petrol,emissions
0,Roskilde,Aarhus,Sjællands Odde,2.0,1,0,312.14059999999995,0.0,312.14059999999995,5.073585335833333,0.0,5.073585335833333
1,Roskilde,København,,4.0,0,1,0.0,142.87079999999997,142.87079999999997,0.0,21.97486845375,21.97486845375
2,Ølstykke,Helsingør,,2.0,1,0,98.3338,0.0,98.3338,1.598333974166667,0.0,1.598333974166667
3,Roskilde,Ålborg,Fyn,4.0,1,0,1552.6048,0.0,1552.6048,25.236297186666672,0.0,25.236297186666672
4,Roskilde,Aarhus Universitet Aarhus,Sjællands Odde,2.0,1,0,317.28040000000004,0.0,317.28040000000004,5.1571285016666675,0.0,5.1571285016666675
5,Risø,Kirke Hvalsø,,50.0,1,0,1573.28,0.0,1573.28,25.572355333333338,0.0,25.572355333333338
6,København,Aarhus,Sjællands Odde,4.0,1,0,754.7168,0.0,754.7168,12.267292653333335,0.0,12.267292653333335
7,Lejre,Aarhus,Sjællands Odde,4.0,0,1,0.0,595.3216,595.3216,0.0,91.56604322000001,91.56604322000001
8,Roskilde,Aarhus,Sjællands Odde,6.0,1,0,936.4217999999998,0.0,936.4217999999998,15.220756007499999,0.0,15.220756007499999
9,Risø,Københavns Universitet Frederiksberg,,4.0,1,0,149.8032,0.0,149.8032,2.4349261800000006,0.0,2.4349261800000006
10,Roskilde,København,,4.0,1,0,142.87079999999997,0.0,142.87079999999997,2.3222457949999997,0.0,2.3222457949999997
11,København,Foulum,Sjællands Odde,2.0,0,1,0.0,514.5408,514.5408,0.0,79.14119886000002,79.14119886000002
12,Hundested,København,,20.0,1,0,1317.314,0.0,1317.314,21.411841308333337,0.0,21.411841308333337
13,København,Middelfart,,2.0,0,1,0.0,388.28520000000003,388.28520000000003,0.0,59.72190393375001,59.72190393375001
14,Roskilde,Miljøstyrelsen København,,2.0,1,0,77.02680000000001,0.0,77.02680000000001,1.2520064450000001,0.0,1.2520064450000001
15,Roskilde,Odense,Korsør,2.0,1,0,270.45840000000004,0.0,270.45840000000004,4.396075910000001,0.0,4.396075910000001
16,Risø,Aarhus,Sjællands Odde,44.0,1,0,7176.835599999999,0.0,7176.835599999999,116.65348198166666,0.0,116.65348198166666
17,København,Aarhus,,14.0,0,1,0.0,4236.288,4236.288,0.0,651.5808096,651.5808096
18,Risø,København,,6.0,0,1,0.0,236.16359999999997,236.16359999999997,0.0,36.32417571375,36.32417571375
19,København,Aarhus,Sjællands Odde,4.0,1,0,754.7168,0.0,754.7168,12.267292653333335,0.0,12.267292653333335
20,Hvalsø,København,,8.0,1,0,454.2264,0.0,454.2264,7.383071610000002,0.0,7.383071610000002
21,Risø,Sorø,Roskilde,2.0,0,1,0.0,107.74719999999999,107.74719999999999,0.0,16.57252949,16.57252949
22,Køge,København,,10.0,1,0,430.102,0.0,430.102,6.990949591666668,0.0,6.990949591666668
23,Aarhus,København,Sjællands Odde,2.0,0,1,0.0,377.8102,377.8102,0.0,58.11075073062501,58.11075073062501
24,Risø,Aarhus,Odden,4.0,0,1,0.0,2582.276,2582.276,0.0,397.17825763750005,397.17825763750005
25,Greve,Aarhus,,170.0,1,0,47698.702,0.0,47698.702,775.3026520916667,0.0,775.3026520916667
26,Roskilde,Viborg,Sjællands Odde,6.0,1,0,1408.1118,0.0,1408.1118,22.887683882500003,0.0,22.887683882500003
27,Roskilde,København,,20.0,1,1,357.1769999999999,357.1769999999999,714.3539999999998,5.805614487499999,54.93717113437499,60.742785621874994
28,Allerslev,København,,2.0,1,0,90.76,0.0,90.76,1.475228166666667,0.0,1.475228166666667
29,Risø,Foulum,,6.0,0,1,0.0,2029.7904,2029.7904,0.0,312.200792805,312.200792805
30,Roskilde,Aarhus Universitet Aarhus,Sjællands Odde,2.0,1,0,317.28040000000004,0.0,317.28040000000004,5.1571285016666675,0.0,5.1571285016666675
31,Risø,DTU Lyngby,,4.0,1,0,172.06320000000002,0.0,172.06320000000002,2.7967439300000003,0.0,2.7967439300000003
32,Roskilde,hvidovre,,2.0,1,0,58.0396,0.0,58.0396,0.9433853316666668,0.0,0.9433853316666668
33,Roskilde,Aalborg,Odense,6.0,1,1,1141.8264,1141.8264,2283.6528,18.559436610000002,175.6236049425,194.18304155250001
34,Hundested,Århus,Sjællands Odde,6.0,1,0,684.6306000000001,0.0,684.6306000000001,11.128099877500002,0.0,11.128099877500002
35,Køge,Christiansminde Svendborg,Fyn,4.0,1,0,682.8671999999999,0.0,682.8671999999999,11.09943728,0.0,11.09943728
36,Roskilde,Viborg,Odense,2.0,1,0,580.8458,0.0,580.8458,9.441164440833335,0.0,9.441164440833335
37,Roskilde,Aalborg,,8.0,1,1,1516.6452,1516.6452,3033.2904,24.651803855000004,233.27425030875,257.92605416375
38,Allerslev,Aarhus,Sjællands Odde,2.0,1,0,297.8418,0.0,297.8418,4.8411702575,0.0,4.8411702575
39,Risø,Aarhus,,2.0,0,1,0.0,555.8602,555.8602,0.0,85.496509949375,85.496509949375
40,Roskilde,København,,10.0,1,1,178.58849999999995,178.58849999999995,357.1769999999999,2.9028072437499994,27.468585567187496,30.371392810937497
41,Hundested,Viborg,Sjællands Odde,4.0,1,0,770.8804,0.0,770.8804,12.53001850166667,0.0,12.53001850166667
42,Køge,Vejle,Fyn,2.0,1,0,411.72020000000003,0.0,411.72020000000003,6.692168750833335,0.0,6.692168750833335
43,Roskilde,Aarhus,Sjællands Odde,4.0,1,0,624.2811999999999,0.0,624.2811999999999,10.147170671666666,0.0,10.147170671666666
44,Roskilde,Aarhus,,12.0,1,1,1609.3716,1609.3716,3218.7432,26.158994215,247.53643993875,273.69543415375
45,Roskilde,Tårnby,,10.0,1,1,191.49450000000002,191.49450000000002,382.98900000000003,3.1125835187500006,29.453649360937504,32.566232879687504
46,Hundested,Herning,Sjællands Odde,2.0,1,0,400.0956,0.0,400.0956,6.503220565000001,0.0,6.503220565000001
47,Køge,Nyborg,Fyn,4.0,1,0,658.6968,0.0,658.6968,10.70656757,0.0,10.70656757
