,from,to,via,times,electric,petrol,distance_electric,distance_petrol,distance,emissions_electric,emissions_petrol,emissions
0,Risø,Nykøbing Mors,,2.0,1,0,724.3194,0.0,724.3194,6.80860236,0.0,6.80860236
1,København H,Århus C,Sjællands Odde,4.0,1,0,785.7,0.0,785.7,7.385580000000001,0.0,7.385580000000001
2,Roskilde,Middelfart,,2.0,1,0,319.5582,0.0,319.5582,3.00384708,0.0,3.00384708
3,København,Aarhus,Sjællands Odde,2.0,0,1,0.0,377.3584,377.3584,0.0,33.56602968,33.56602968
4,København,Aarhus,Sjællands Odde,4.0,1,0,754.7168,0.0,754.7168,7.094337920000001,0.0,7.094337920000001
5,Hvalsø,Esbjerg,,2.0,1,0,494.2616,0.0,494.2616,4.64605904,0.0,4.64605904
6,Køge,Svendborg,Fyn,2.0,0,1,0.0,334.07120000000003,334.07120000000003,0.0,29.715633240000003,29.715633240000003
7,København H,Viborg,Odense,6.0,1,0,1942.0745999999997,0.0,1942.0745999999997,18.255501239999997,0.0,18.255501239999997
8,København,Helsingør,,2.0,1,0,90.3772,0.0,90.3772,0.8495456800000001,0.0,0.8495456800000001
9,Roskilde,Middelfart,,2.0,1,0,319.5582,0.0,319.5582,3.00384708,0.0,3.00384708
10,Køge,København,,5.0,0,1,0.0,215.051,215.051,0.0,19.12878645,19.12878645
11,København H,Sorø,Roskilde,2.0,1,0,163.5804,0.0,163.5804,1.53765576,0.0,1.53765576
12,København H,Middelfart,Roskilde,2.0,1,0,389.386,0.0,389.386,3.6602284000000003,0.0,3.6602284000000003
